date,temperature_2m,wind_speed_10m,DHI,DNI,GHI
2024-04-01 00:00:00+00:00,6.6,13.339445,0.0,0.0,0.0
2024-04-01 01:00:00+00:00,6.65,10.483357,0.0,0.0,0.0
2024-04-01 02:00:00+00:00,6.9,14.264361,0.0,0.0,0.0
2024-04-01 03:00:00+00:00,6.85,14.799459,0.0,0.0,0.0
2024-04-01 04:00:00+00:00,6.95,14.658676,0.0,0.0,0.0
2024-04-01 05:00:00+00:00,7.2,13.237039,0.0,0.0,0.0
2024-04-01 06:00:00+00:00,7.75,9.085988,27.0,0.0,27.0
2024-04-01 07:00:00+00:00,8.9,5.1165614,93.0,44.196747,103.0
2024-04-01 08:00:00+00:00,9.8,0.35999998,138.0,46.358585,155.0
2024-04-01 09:00:00+00:00,9.75,5.3517847,84.0,0.0,84.0
2024-04-01 10:00:00+00:00,9.95,9.931042,77.0,0.0,77.0
2024-04-01 11:00:00+00:00,10.4,10.028439,107.0,0.0,107.0
2024-04-01 12:00:00+00:00,11.1,9.504272,136.0,26.03951,153.0
2024-04-01 13:00:00+00:00,11.55,13.513193,184.0,33.28006,205.0
2024-04-01 14:00:00+00:00,11.25,11.304229,112.0,3.5037632,114.0
2024-04-01 15:00:00+00:00,11.15,11.177405,88.0,2.099107,89.0
2024-04-01 16:00:00+00:00,9.6,19.008547,54.0,0.0,54.0
2024-04-01 17:00:00+00:00,8.85,17.057314,37.0,0.0,37.0
2024-04-01 18:00:00+00:00,8.55,19.559633,9.0,0.0,9.0
2024-04-01 19:00:00+00:00,8.55,20.991426,0.0,0.0,0.0
2024-04-01 20:00:00+00:00,8.35,20.883104,0.0,0.0,0.0
2024-04-01 21:00:00+00:00,8.6,23.857979,0.0,0.0,0.0
2024-04-01 22:00:00+00:00,8.75,25.683926,0.0,0.0,0.0
2024-04-01 23:00:00+00:00,8.7,26.079508,0.0,0.0,0.0
2024-04-02 00:00:00+00:00,8.7,25.325686,0.0,0.0,0.0
2024-04-02 01:00:00+00:00,8.6,22.392462,0.0,0.0,0.0
2024-04-02 02:00:00+00:00,8.3,21.841648,0.0,0.0,0.0
2024-04-02 03:00:00+00:00,8.45,22.314192,0.0,0.0,0.0
2024-04-02 04:00:00+00:00,8.55,22.314192,0.0,0.0,0.0
2024-04-02 05:00:00+00:00,8.6,23.441502,0.0,0.0,0.0
2024-04-02 06:00:00+00:00,8.4,22.530937,14.0,0.0,14.0
2024-04-02 07:00:00+00:00,9.0,25.932495,64.0,0.0,64.0
2024-04-02 08:00:00+00:00,9.45,31.616526,99.0,8.054549,102.0
2024-04-02 09:00:00+00:00,9.65,31.129074,182.0,28.437498,196.0
2024-04-02 10:00:00+00:00,10.05,31.780067,238.0,119.953896,308.0
2024-04-02 11:00:00+00:00,10.6,29.519999,265.0,146.87366,359.0
2024-04-02 12:00:00+00:00,11.2,28.449112,242.0,322.27618,454.0
2024-04-02 13:00:00+00:00,9.95,23.770906,238.0,28.31056,256.0
2024-04-02 14:00:00+00:00,10.15,26.727423,189.0,248.48961,332.0
2024-04-02 15:00:00+00:00,10.0,24.842607,208.0,224.54832,316.0
2024-04-02 16:00:00+00:00,9.9,23.042812,131.0,284.33548,233.0
2024-04-02 17:00:00+00:00,9.2,19.8,87.0,248.70721,141.0
2024-04-02 18:00:00+00:00,8.3,17.731598,24.0,55.797276,30.000002
2024-04-02 19:00:00+00:00,8.25,16.263872,0.0,0.0,0.0
2024-04-02 20:00:00+00:00,8.1,14.154915,0.0,0.0,0.0
2024-04-02 21:00:00+00:00,8.15,13.1041975,0.0,0.0,0.0
2024-04-02 22:00:00+00:00,7.7,11.525623,0.0,0.0,0.0
2024-04-02 23:00:00+00:00,7.05,10.948973,0.0,0.0,0.0
2024-04-03 00:00:00+00:00,6.45,10.144082,0.0,0.0,0.0
2024-04-03 01:00:00+00:00,5.5,10.137692,0.0,0.0,0.0
2024-04-03 02:00:00+00:00,4.5,9.007196,0.0,0.0,0.0
2024-04-03 03:00:00+00:00,3.85,7.342588,0.0,0.0,0.0
2024-04-03 04:00:00+00:00,2.95,9.585739,0.0,0.0,0.0
2024-04-03 05:00:00+00:00,2.35,10.514218,0.0,0.0,0.0
2024-04-03 06:00:00+00:00,2.5,10.483357,27.0,0.0,27.0
2024-04-03 07:00:00+00:00,3.15,10.853866,75.0,8.401319,77.0
2024-04-03 08:00:00+00:00,4.35,11.159999,158.0,84.61371,190.0
2024-04-03 09:00:00+00:00,5.65,11.570515,237.0,56.24206,265.0
2024-04-03 10:00:00+00:00,7.1,11.013882,273.0,95.09362,329.0
2024-04-03 11:00:00+00:00,7.4,11.966954,209.0,1.5500636,210.0
2024-04-03 12:00:00+00:00,7.4,12.522619,103.0,0.0,103.0
2024-04-03 13:00:00+00:00,8.7,15.683774,152.0,0.0,152.0
2024-04-03 14:00:00+00:00,8.65,15.137133,107.0,0.0,107.0
2024-04-03 15:00:00+00:00,8.65,13.779114,88.0,0.0,88.0
2024-04-03 16:00:00+00:00,8.6,14.934577,56.0,0.0,56.0
2024-04-03 17:00:00+00:00,8.65,15.484185,35.0,0.0,35.0
2024-04-03 18:00:00+00:00,8.55,14.512064,7.0,0.0,7.0
2024-04-03 19:00:00+00:00,8.75,12.783802,0.0,0.0,0.0
2024-04-03 20:00:00+00:00,8.9,12.031756,0.0,0.0,0.0
2024-04-03 21:00:00+00:00,8.9,10.97262,0.0,0.0,0.0
2024-04-03 22:00:00+00:00,8.95,12.0694,0.0,0.0,0.0
2024-04-03 23:00:00+00:00,9.4,12.864649,0.0,0.0,0.0
